Município;Butano;Propano;Gás Auto;Gasolina IO 95;Gasolina IO 98;Petróleo Iluminante / Carburante;Gasóleo Rodoviário;Gasóleo Colorido;Gasóleo Colorido p/ Aquecimento;Lubrificantes;Biodiesel;Grand Total
Faro;0;0;172,799;10249,62075;468,439438;0;23702,56632;1378,24764;0;33,003;1,74;36006,41615
Feira;0;0;223,311;9714,551502;1168,231766;0;32823,89576;20,17092;0;0;214,965;44165,12595
Felgueiras;0;0;99,91;2547,026024;801,774948;0;14632,54464;0;0;5,445;0;18086,70061
Ferreira do Alentejo;0;0;0;363,434788;77,657476;0;1604,73012;0;0;0;0;2045,822384
Ferreira do Zêzere;0;0,458;12,714;700,431336;61,924512;0;3512,75064;0;0;0;0;4288,278488
Figueira da Foz;0;0;2069,049;5326,319894;511,14414;0;21055,86588;224,70588;0;1,489;2,479;29191,05279
Figueira de Castelo Rodrigo;0;0;0;233,211536;24,072204;0;1344,34104;0;0;0;0;1601,62478
Figueiró dos Vinhos;0;0;0;436,742716;131,284972;0;2333,2596;0;0;0;0;2901,287288
Fornos de Algodres;0;0;0;356,2896;27,827878;0;1232,03472;0;0;0;0;1616,152198
Freixo de Espada à Cinta;0;1,08;0;50,84736;4,269148;0;616,87668;0;0;6,27;0;679,343188
Fronteira;0;0;0;105,07783;15,888288;0;545,48172;0;0;0;0;666,447838
Funchal;0;8,081;0;13191,57619;3010,021534;0;40040,27832;0;0;56,706;5,28;56311,94304
Fundão;0;0;60,58;2023,412354;158,756962;0;9091,3932;275,793;0;0;0;11609,93552
Góis;0;0;0;0;0;0;8,316;0;0;0;0;8,316
Golegã;0;0;0;58,176064;18,58987;0;346,9452;0;0;0;0;423,711134
Gondomar;0;0;244,419;9973,980462;452,45107;0;24635,44524;0;0;9,437;4,644;35320,37677
Gouveia;0;0;0;660,444244;91,860574;0;1708,1966;0;0;0;0;2460,501418
Grândola;0;0;214,838;2497,336456;254,999784;0;12878,49864;0;0;0;0;15845,67288
Guarda;0;0;173,008;3892,641428;296,994568;0;19199,79588;0;0;6,103;0;23568,54288
Guimarães;0;0;366,945;12604,137;1353,906528;0;47535,2572;0;0;7,816;0,99;61869,05172
Horta;0;0;0;2220,231026;88,217246;0;7347,04404;0;0;0;0;9655,492312
Idanha-a-Nova;0;0;0;253,322204;20,455266;0;1103,89104;0;0;0;0;1377,66851
Ílhavo;0;0;0,055;1022,10579;82,855552;0;4210,59524;0;0;0;0;5315,611582
