Município;Butano;Propano;Gás auto;Gasolina s/ chumbo 95;Gasolina s/ chumbo 95 especial;Gasolina s/ chumbo 98   ;Gasolina s/ chumbo 98 Especial;Petróleo iluminante   ;Petróleo carburante;Gasóleo;Gasóleo Especial;Gasóleo colorido;Gasóleo colorido p/ aquecimento;Biodiesel;Biodiesel B10;Biodiesel B15;Biodiesel B20;Lubrificantes;Asfaltos;Total
Castro d’Aire;79,411;31,13;29,466;1102,581172;12,683088;120,7725;122,12475;0;0;4564,851525;333,931194;0;0;0;0;0;0;4,792;0;6401,743229
Castro Marim;0;0;0;269,090756;0;20,13825;20,83725;0;0;1016,173242;64,921068;0;0;0;0;0;0;0;0;1391,160566
Castro Verde;0;0;0;690,642612;0;49,224;53,14125;0;0;3965,695956;181,048122;0;0;0;0;0;0;0;0;4939,75194
Celorico da Beira;0;0;0;709,16758;8,208552;57,5475;57,828;0;0;4353,406074;213,055002;0;0;0;0;0;0;0;0;5399,212708
Celorico de Basto;0;0;11,546;968,287496;5,333988;281,34525;34,40175;0;0;3537,208872;80,910279;0;0;6,178;0;0;0;0;0;4925,211635
Chamusca;0;0;0;526,063164;0;35,64225;49,557;0;0;2631,895443;91,322559;0;0;0;0;0;0;0;0;3334,480416
Chaves;0;0;39,578;2152,7814;1,398012;132,76575;206,5875;0;0;14165,20135;387,409635;0;0;26,164;0;0;0;3,081;0;17114,96665
Cinfães;0;0;0;771,421376;0;18,774;200,73;0;0;2858,880636;106,755165;0;0;0;0;0;0;0;0;3956,561177
Coimbra;0;0;558,456;26035,30912;450,334896;2077,464;808,27875;0;0;84821,3448;2381,622399;638,663643;20,922489;16,535;139,3392;620,576734;0;53,075;0;118621,922
Condeixa-a-Nova;0;0;147,43;1130,358152;0;0;122,7525;0;0;6471,553428;204,566148;0;0;0;0;0;0;0;0;8076,660228
Constância;0;0;0;367,461732;0;0;34,9965;0;0;1300,282011;54,727245;0;0;0;0;0;0;0;0;1757,467488
Coruche;0;32,191;0;1327,91318;0;97,2465;285,38475;0;0;6463,366731;395,150211;0;0;0;0;0;0;6,85;0;8608,102372
Covilhã;0;0;64,08;3526,095188;0;146,3115;415,2645;0;0;11163,11504;462,399813;0;0;0;0;0;0;1,814;0;15779,08004
Crato;0;0;0;377,784132;0;15,23625;25,16925;0;0;1202,912127;33,401322;0;0;0;0;0;0;0;0;1654,503081
Cuba;120,725;98,45;0;306,157896;0;0;38,0925;0;0;1411,086582;0;0;0;0;0;0;0;0;0;1974,511978
Elvas;0;0;35,532;1089,148588;26,652736;22,641;63,7575;0;0;6893,152839;222,622749;0;0;0;0;0;0;0,966;0;8354,473412
Entroncamento;0;0;3,443;2959,97438;0;243,774;51,93;0;0;6567,946533;56,231334;2997,829332;0;0;0;0;0;0,912;0;12882,04058
Espinho;0;0;6,523;3590,55334;17,687208;53,62725;252,38475;0;0;5801,28048;492,613002;0;0;0;0;0;0;0;0;10214,66903
Esposende;0;0;1,518;2993,935076;33,72732;98,69625;133,0665;0;0;6550,576272;216,284985;0;0;0;0;0;0;1,764;0;10029,5684
Estarreja;0;0;61,408;1493,193504;46,994596;211,17975;65,8815;0;0;7181,397225;240,035697;0;0;7,04;0;0;0;10,492;0;9317,622272
Estremoz;0;0;107,364;1666,31212;0;147,51975;197,694;0;0;7268,833593;512,817345;0;0;0;0;0;0;0;0;9900,540808
Évora;0;0;161,673;5851,497036;179,7444;55,6395;443,37225;0;0;19587,33004;1343,942442;1267,854957;0;0;0;0;0;8,011;0;28899,06462
Fafe;0;0;0,33;5242,292176;0;927,7455;273,4515;0;0;18580,6241;612,125721;0;0;14,08;0;0;0;0;0;25650,649
Faro;0;0;75,298;12721,0662;107,599052;251,979;671,94075;0;0;24046,92881;1708,142904;1811,983635;0;0;0;0;0;14,632;0;41409,57036
Feira;0;0;248,412;16265,12012;45,638472;1651,61025;769,93575;0;0;45415,33877;1392,764652;22,28931;0;28,001;0;5,057052;0;0;0;65844,16738
Felgueiras;0;0;57,449;3030,40606;0;889,59;330,3435;0;0;14936,31773;571,215672;0;0;0;0;0;0;5,418;0;19820,73996
Ferreira do Alentejo;0;0;0;313,248188;0;59,12625;3,75075;0;0;1601,823816;5,834727;0;0;0;0;0;0;0;0;1983,783731
Ferreira do Zêzere;0;0;11,065;721,87236;0;26,12925;83,01825;0;0;2426,871456;165,225474;0;0;0;0;0;0;0;0;3434,18179
Figueira da Foz;0;0;1574,447;6662,231048;19,259504;412,506;394,40925;0;0;21329,43589;1009,054557;355,093902;0;0;0;0;0;2,877;0;31759,31415
Figueira de Castelo Rodrigo;0;0;0;274,112828;0;13,521;20,472;0;0;1626,036552;16,860528;0;0;0;0;0;0;0;0;1951,002908
Figueiró dos Vinhos;0;0;0;410,037144;6,752944;161,21625;0;0;0;2090,713005;82,570887;0;0;0;0;0;0;0;0;2751,29023
Fornos de Algodres;0;0;0;387,065316;0;2,64675;43,353;0;0;1457,952723;44,120781;0;0;0;0;0;0;0;0;1935,13857
Freixo de Espada à Cinta;0;0;0;30,7241;0;6,65775;0;0;0;445,33422;0;0;0;0;0;0;0;4,333;0;487,04907
Fronteira;0;0;0;77,809952;0;27,0045;0;0;0;454,455009;0;0;0;0;0;0;0;0;0;559,269461
Funchal;0;12,658;0;15095,34013;0;1868,00925;2673,44625;0;0;40553,62176;461,75616;0;0;4,4;0;0;0;65,572;0;60734,80355
Fundão;0;0;84,97;1963,15592;124,343032;36,432;165,48825;0;0;7362,5031;326,226609;246,899934;0;0;0;0;0;3,357;0;10313,37585
Gavião;0;0;0;62,990576;0;3,45825;0;0;0;158,615685;0;0;0;0;0;0;0;0;0;225,064511
Góis;0;0;0;0;0;0;0;0;0;109,535679;0;0;0;0;0;0;0;0;0;109,535679
Golegã;0;0;0;65,105172;0;22,6485;0;0;0;469,623123;0;0;0;0;0;0;0;0;0;557,376795
Gondomar;0;0;209,783;11544,00892;290,813424;237,12375;588,4335;0;0;26170,12997;1220,690844;0;0;62,188;0;0;0;11,733;0;40334,90441
Gouveia;0;0;77,007;1465,246728;0;129,66525;53,88825;0;0;2763,808317;158,281722;0;0;0;0;0;0;0;0;4647,897267
Grândola;0;0;253,889;3118,367868;0;42,39675;335,7135;0,2496;0,2496;14800,93214;1040,403555;0;0;0;0;0;0;0;0;19592,20202
Guarda;0;0;202,516;2495,864316;166,928916;66,41475;234,22725;0;0;13507,9086;731,023245;54,487026;0;0;0;0;0;11,32;0;17470,6901
Guimarães;0;0;384,773;14041,18148;212,8808;662,772;892,39275;0;0;39455,67864;1653,583896;0;0;672,442;0;2882,449754;0;19,084;0;60877,23832
Horta;0;0;0;2098,009848;0;122,763;0;0;0;9852,425766;0;0;0;0;0;0;0;0;0;12073,19861
Idanha-a-Nova;0;0;0;368,916592;0;52,449;4,9965;0;0;1630,940535;8,059473;0;0;0;0;0;0;0;0;2065,3621
Ílhavo;0;0;0,055;2141,35196;175,872752;92,34825;119,094;0;0;6794,24706;233,360622;0;0;7,392;0;0;0;1,769;0;9565,490644
Lagoa (Açores);0;0;0;613,1169;0;51,19125;0;0;0;1703,952882;0;0;0;0;0;0;0;0;0;2368,261032
Lagoa (Algarve);0;0;0;3753,39294;68,07922;37,63575;257,58375;0;0;7360,174566;438,033069;0;0;0,88;0;0;0;0;0;11915,7793
Lagos;0;0;67,363;5747,465944;278,580632;262,737;517,227;0;0;15173,0138;1112,444145;0;0;0;0;0;0;0;0;23158,83152
Lajes das Flores;0;0;0;247,424188;0;22,13775;0;0;0;1811,591082;0;0;0;0;0;0;0;0;0;2081,15302
Lajes do Pico;0;0;0;141,37574;0;4,52475;0;0;0;284,647797;0;0;0;0;0;0;0;0;0;430,548287
Lamego;0;0,608;80,925;2562,979364;0;459,75525;31,4505;0;0;8402,571855;201,058281;0;0;0;0;0;0;5,171;0;11744,51925
Leiria;0;0;343,533;13969,61808;54,766316;1507,62525;1064,664;0,346112;0;86459,34209;3628,157292;0;0;4,4;0;0;0;45,945;0;107078,3971
Lisboa;0;0;1774,292;96980,96536;2145,451748;5788,761;4862,325;0;0;373975,2836;14530,79876;1678,974291;0;120,629;0;8775,438512;0;93,844;0;510726,7633
