Município;Butano;Propano;Gás Auto;Gasolina IO 95;Gasolina IO 98;Petróleo Iluminante / Carburante;Gasóleo Rodoviário;Gasóleo Colorido;Gasóleo Colorido p/ Aquecimento;Fuel;Lubrificantes;Asfaltos;Biodiesel;Grand Total
Nazaré;0;0;0;3080,20043;392,292628;0;14678,4414;0;0;0;8,188;0;0;18159,12246
Nelas;0;0;0;1046,19786;77,806768;0;4536,33432;0;0;0;0;0;0;5660,338948
Nisa;0;0;0;184,388074;0;0;850,3488;0;0;0;0,017;0;0;1034,753874
Nordeste;0;0;0;368,388228;0;0;754,86516;0;0;0;0,576;0;0;1123,829388
Óbidos;0;0;51,168;848,502638;78,73645;0;4597,66272;0;0;0;4,077;0;0;5580,146808
Odemira;0;0;0;2357,581562;153,988666;0;9226,06692;0;0;0;13,712;0;0;11751,34915
Odivelas;0;0,717;281,335;7830,071204;263,097744;0;26907,29328;0;0;0;469,626;0;0;35752,14023
Oeiras;0;0;475,684;21226,50347;1027,214916;0;59471,66568;0;0;0;831,374;0;0;83032,44206
Oleiros;0;0;0;267,893076;0;0;2778,50748;0;0;0;32,672;0;0;3079,072556
Olhão;0;0,752;97,222;3788,20665;312,308308;0;10607,15124;0;0;0;22,055;0;0;14827,6952
Oliveira de Azeméis;0;0;40,4;3060,318784;406,490448;0;15454,6476;0;0;0;21,494;0;0;18983,35083
Oliveira de Frades;0;0;28,354;421,763036;42,760094;0;2866,25388;0;0;0;10,996;0;0;3370,12701
Oliveira do Bairro;0;0;70,779;1937,5858;212,072302;0;7293,34368;0;0;0;116,631;0;0;9630,411782
Oliveira do Hospital;0;0;50,639;1908,80512;360,910394;0;8655,02736;0;0;0;7,144;0;0;10982,52587
Ourique;0;0;0;471,055732;0;0;2367,84324;0;0;0;1,775;0;0;2840,673972
Ovar;0;0;459,134;3473,061188;302,251456;0;14840,4228;0;0;0;55,739;0;49,147;19179,75544
Paços de Ferreira;0;12,915;502,783;4536,584152;526,513676;0;21883,95888;0;0;0;22,476;0;0;27485,23071
Palmela;0;0;368,831;7058,475198;394,06302;0;32242,54908;0;0;0;108,41;0;192,5;40364,8283
Pampilhosa da Serra;0;0;0;192,320292;52,865202;0;1183,93212;0;0;0;0;0;0;1429,117614
Paredes;0;0,647;56,796;3862,470204;361,693046;0;18126,4398;0;0;0;168,1;0;0,88;22577,02605
Paredes de Coura;0;0;3,546;365,822734;50,956074;0;1186,9998;0;0;0;0,984;0;0;1608,308608
Pedrogão Grande;0;0;0;121,904606;48,204728;0;832,8516;0;0;0;0,357;0;0;1003,317934
Penacova;0;7,47;25,556;594,190492;57,9072;0;2978,3292;0;0;0;3,523;0;0;3666,975892
Penafiel;0;12,216;149,443;4533,607612;637,930748;0;23223,98568;0;0;0;6,428;0;52,8;28616,41104
Penalva do Castelo;0;0;7,34;437,42829;55,621826;0;1317,85668;0;0;0;0,595;0;0;1818,841796
Penamacor;0;0;0;103,450058;24,49369;0;441,37968;0;0;0;0;0;0;569,323428
Penedono;0;0;0;160,944278;0;0;771,7374;0;0;0;0;0;0;932,681678
Penela;0;0;18,158;285,559848;35,621976;0;2165,85852;0;0;0;0,421;0;0;2505,619344
Peniche;0;0;1,001;2106,697286;135,254028;0;6436,8192;0;0;0;25,086;0;0;8704,857514
Peso da Régua;0;0;0;1551,00114;144,414374;0;7201,95672;1372,01064;0;0;2,632;0;0;10272,01487
Pinhel;0;0;0;144,902294;15,570854;0;2389,55304;0;14,198535;0;24,491;0;0;2588,715723
Pombal;0;2,79;314,991;3363,655812;592,748806;0,01664;35669,5164;0;0;0;894,041;0;29,809;40867,56866
Ponta Delgada;8,786;0;0;10590,35998;495,12918;0;20253,88848;0;0;0;174,262;0;0;31522,42564
Ponta do Sol;0;0;0;959,361968;267,459634;0;2627,65356;0;0;0;0;0;0;3854,475162
Ponte da Barca;0;0;0;671,60142;77,50366;0;2270,4738;0;0;0;0;0;0;3019,57888
Ponte de Lima;0;0;138,1;2617,241782;216,498282;0;12642,42924;0;3,38338;0;473,955;0;0,651;16092,25868
Ponte de Sôr;0;0;1,925;892,190636;145,83114;0;4362,03096;0;0;0;2,518;0;0;5404,495736
Portalegre;0;0;60,091;2156,830724;49,091432;0;9605,66292;0;0;0;25,711;0;0;11897,38708
Portel;0;0;0;215,265014;36,71226;0;1179,42972;0;0;0;0;0;0;1431,406994
Portimão;0;0;254,231;8799,231136;767,731094;0;24530,40744;0;0;0;49,162;0;0;34400,76267
Porto;0;2,73;665,56;27503,29077;1173,654534;0;77512,01892;1916,8086;0;0;741,998;0;12,71;109528,7708
Porto de Mós;0;0;60,07;1272,429074;241,63438;0;12493,35276;0;0;0;136,996;0;0;14204,48221
Porto Moniz;0;0;0;146,7755;39,229112;0;337,07604;0;0;0;0;0;0;523,080652
Porto Santo;0;0;0;752,10974;0;0;1005,8832;0;0;0;0,077;0;0;1758,06994
Póvoa de Lanhoso;0;0;0,352;1180,654662;187,223478;0;4975,32336;0;0;0;3,243;0;0,388;6347,1845
Póvoa de Varzim;0;0;322,278;4959,161074;300,89124;0;22162,85736;0;0;0;51,878;0;8,618;27805,68367
Povoação;0;0;0;898,80691;10,044034;0;1514,28396;0;0;0;0;0;0;2423,134904
Proença-a-Nova;0;0;0;447,871544;43,310514;0;2051,08932;0;0;0;23,681;0;0;2565,952378
Redondo;0;0;0;365,165508;0;0;1599,76824;0;0;0;1,187;0;0;1966,120748
Reguengos de Monsaraz;0;0;0;549,23504;0;0;2093,94528;0;0;0;5,423;0;0;2648,60332
Resende;0;0;1,21;528,737198;102,14815;0;2026,7352;0;0;0;2,76;0;0;2661,590548
Ribeira Brava;0;0;0;1345,434872;458,486288;0;6364,34064;0;0;0;40,447;0;0;8208,7088
Ribeira de Pena;0;0;0;159,720838;88,366538;0;1284,05844;0;0;0;1,194;0;0;1533,339816
Ribeira Grande;1,607;0;0;2069,41519;106,395432;0;2954,64624;0;0;0;18,319;1278,1;0;6428,482862
Rio Maior;0;0;164,673;1291,509516;183,902108;0;8921,7198;0;0;0;5,952;0;0;10567,75642
Sabrosa;0;0;0;238,446218;20,21851;0;1594,10832;0;0;0;0,531;0;0;1853,304048
Sabugal;0;0;12,451;628,742228;46,022652;0;3133,54104;0;0;0;5,373;0;0;3826,12992
Salvaterra de Magos;0;0;64,793;1123,320086;66,428908;0;6613,43592;0;0;0;16,97;0;0;7884,947914
Santa Comba Dão;0;0;86,855;824,263606;46,545928;0;4698,52236;0;0;0;1,617;0;0;5657,803894
Santa Cruz;0;3,899;0;4450,966478;844,308842;0;10283,46984;0;0;0;8,013;0;0;15590,65716
Santa Cruz da Graciosa;0;0;0;484,571014;5,278;0;594,39072;0;0;0;0,037;0;0;1084,276734
Santa Cruz das Flores;0;0;0;0;0;0;197,20764;0;0;0;0;0;0;197,20764
Santa Marta de Penaguião;0;0;0;221,2263;5,986006;0;877,5312;0;0;0;0;0;0;1104,743506
Santana;0;0;0;974,743742;299,219622;0;3405,01644;0;0;0;0;0;0;4678,979804
Santarém;0;0;492,705;6335,936152;592,756346;0;37818,9;0;0;0;129,506;0;0;45369,8035
Santiago do Cacém;0;0;0;2323,948898;212,234412;0,09984;12420,82044;0;0;0;20,984;0;0;14978,08759
Santo Tirso;0;0;203,002;9380,642648;763,311146;0;32627,1624;0;0;0;30,461;0;0,155;43004,73419
São Brás de Alportel;0;0;0;699,078838;10,185032;0;2315,55996;0;0;0;0,341;0;0;3025,16483
São João da Madeira;0;0;237,605;1784,32756;152,33439;0;8757,71988;0;0;0;6,514;0;0;10938,50083
São João da Pesqueira;0;0;0;246,867812;140,311106;0;1894,87704;0;0;0;0,381;0;0;2282,436958
São Pedro do Sul;0;0;0;817,984524;58,965062;0;2828,47572;0;0;0;43,968;0;0;3749,393306
São Roque do Pico;0;0;0;96,130306;0;0;430,08672;0;0;0;0,071;0;0;526,288026
São Vicente;0;0;0;578,722928;188,636474;0;2317,70028;0;0;0;0,092;0;0;3085,151682
Sardoal;0;0;0;337,901446;0;0;1208,72724;0;0;0;0,469;0;0;1547,097686
Sátão;0;0;1,431;424,41432;36,147514;0;1801,29936;0;0;0;2,9;0;0;2266,192194
Seia;0;0;84,737;1995,640266;183,646502;0;6705,75276;0;0;0;2,306;0;0;8972,082528
Seixal;0;0;712,254;11269,81752;349,213592;0;34298,07948;0;0;0;66,153;0;110,464;46805,9816
Sernancelhe;0;0;0;222,674286;54,579044;0;1209,41268;0;0;0;0,449;0;0;1487,11501
Serpa;0;0;0;456,640028;36,191246;0;2200,63536;0;0;0;0,774;0;0;2694,240634
Sertã;0;0;33,073;841,913966;73,790964;0;9994,05372;0;174,589675;0;282,173;0;0;11399,59433
Sesimbra;0;0;0,055;4760,909336;171,926326;0;14279,94372;0;0;0;11,2;0;78,7;19302,73438
Setúbal;0;0;123,843;11003,51716;573,79777;0,86528;57449,58576;1011,91104;0;0;65,466;0;0;70228,98601
Sever do Vouga;0;0;6,918;631,743386;63,399336;0;3426,67332;0;0;0;7,422;0;0;4136,156042
Silves;0;0;137,645;4043,56618;233,117196;0;15328,63248;0;0;0;5,977;0;0;19748,93786
Sines;0;0;80,799;7101,03599;588,727724;0;28871,8416;0;0;0;144,544;0;0;36786,94831
Sintra;0;0;1067,06;27349,91765;1110,15567;0;88528,59372;0;0;0;225,092;0;1,76;118282,579
Sobral de Monte Agraço;0;4,04;18,496;403,74639;78,508742;0;2367,14604;0;0;0;2,349;0;0;2874,286172
Soure;0;0;89,777;711,83693;106,514564;0;3059,51352;0;0;0;3,417;0;0;3971,059014
Sousel;0;0;0;182,226166;0;0;864,13656;0;0;0;0;0;0;1046,362726
Tábua;0;0;0;834,865758;31,180162;0;2998,2666;0;0;0;7,931;0;0;3872,24352
Tabuaço;0;0;0;81,296096;40,58782;0;261,84648;0;0;0;0;0;0;383,730396
