geometry,date_time,start_polygon_id,start_polygon_name,end_polygon_id,end_polygon_name,length_km,tile_size,country,level,n_crisis,n_baseline,n_difference,percent_change,is_statistically_significant,z_score,start_lat,start_lon,end_lat,end_lon,start_quadkey,end_quadkey
"LINESTRING (-8.679199218750002 41.75492007456161, -8.679199218750002 41.75492007456161)",2020-04-13 0000,732049,Arcos,732049,Arcos,0,13,PT,LEVEL5,60,60.4,-0.4,-0.6514657980456,0,-0.084704709977525,41.770942736922,-8.6693699231565,41.770942736922,-8.6693699231565,0313322313010,0313322313010
"LINESTRING (-8.679199218750002 42.14711236305605, -8.679199218750002 42.14711236305605)",2020-04-13 0000,886373,Mos,886373,Mos,0,13,ES,LEVEL4,45,44.4,0.6,1.3215859030837,0,0.17848923519262,42.196908472021,-8.6234795150567,42.196908472021,-8.6234795150567,0313322133210,0313322133210
"LINESTRING (-8.723144531249998 37.59682196443127, -8.723144531249998 37.59682196443127)",2020-04-13 0000,732911,Longueira Almograve,732911,Longueira Almograve,0,13,PT,LEVEL5,44,36.2,7.8,20.967741935484,0,3.0134028962164,37.651784845346,-8.7568930896735,37.651784845346,-8.7568930896735,0331102311023,0331102311023
"LINESTRING (-6.61376953125 38.5309768412791, -6.61376953125 38.5309768412791)",2020-04-13 0000,881810,La Parra,881810,La Parra,0,13,ES,LEVEL4,63,61.6,1.4,2.2364217252396,0,0.30697030675746,38.534647331261,-6.6101817850417,38.534647331261,-6.6101817850417,0331103103001,0331103103001
"LINESTRING (-8.723144531249998 38.70265725132718, -8.723144531249998 38.70265725132718)",2020-04-13 0000,731856,Poceirão,731856,Poceirão,0,13,PT,LEVEL5,63,61.8,1.2,1.9108280254777,0,0.10746029273567,38.66530937615,-8.7748599323648,38.66530937615,-8.7748599323648,0331102111023,0331102111023
"LINESTRING (-8.723144531249998 40.09488004652303, -8.723144531249998 40.09488004652303)",2020-04-13 0000,730377,Samuel,730377,Samuel,0,13,PT,LEVEL5,34,28,6,20.689655172414,0,1.4342743312013,40.092070747701,-8.7147408895876,40.092070747701,-8.7147408895876,0331100133021,0331100133021
"LINESTRING (-8.723144531249998 40.26275858650597, -8.723144531249998 40.26275858650597)",2020-04-13 0000,730312,Liceia,730312,Liceia,0,13,PT,LEVEL5,82,68.6,13.4,19.252873563218,0,2.7183267668775,40.252746724452,-8.7203186391465,40.252746724452,-8.7203186391465,0331100131203,0331100131203
"LINESTRING (-8.723144531249998 41.45919328897516, -8.723144531249998 41.45919328897516)",2020-04-13 0000,729352,Barqueiros,729352,Barqueiros,0,13,PT,LEVEL5,135,128.6,6.4,4.9382716049383,0,0.37758276374024,41.473341173263,-8.7286597741653,41.473341173263,-8.7286597741653,0313322331003,0313322331003
"LINESTRING (-8.723144531249998 41.7876949120182, -8.723144531249998 41.7876949120182)",2020-04-13 0000,730626,Montaria,730626,Montaria,0,13,PT,LEVEL5,22,20.2,1.8,8.4905660377359,0,0.42784441968738,41.803774621443,-8.7279516100479,41.803774621443,-8.7279516100479,0313322311223,0313322311223
"LINESTRING (-8.723144531249998 42.21224306625014, -8.67919921875 42.21224306625014)",2020-04-13 0000,886397,Vigo,886397,Vigo,3.6192427257363,13,ES,LEVEL4,26,23,3,12.5,0,0.3889222341313,42.203622988618,-8.7231764232884,42.203622988618,-8.7231764232884,0313322133021,0313322133030
