geometry,date_time,start_polygon_id,start_polygon_name,end_polygon_id,end_polygon_name,length_km,tile_size,country,level,n_crisis,n_baseline,n_difference,percent_change,is_statistically_significant,z_score,start_lat,start_lon,end_lat,end_lon,start_quadkey,end_quadkey
"LINESTRING (-8.59130859375 41.12901926009517, -8.63525390625 41.09590996932491)",2020-04-14 1600,728813,Oliveira do Douro,728823,Valadares,5.2065558878623,13,PT,LEVEL5,46,63,-17,-26.5625,0,-0.39766761860091,41.125480000231,-8.5852715180741,41.092493791416,-8.6383034810667,0313322333122,0313322333211
"LINESTRING (-8.59130859375 41.12901926009517, -8.63525390625 41.12901926009517)",2020-04-14 1600,728813,Oliveira do Douro,728805,Canidelo,3.6806626659224,13,PT,LEVEL5,129,174,-45,-25.714285714286,0,-0.34963652378213,41.125480000231,-8.5852715180741,41.128124084191,-8.6530780410415,0313322333122,0313322333033
"LINESTRING (-8.59130859375 41.12901926009517, -8.63525390625 41.16211185167059)",2020-04-14 1600,728813,Oliveira do Douro,728718,Ramalde,5.2039298788102,13,PT,LEVEL5,62,78.6,-16.6,-20.854271356784,0,-0.2615454594453,41.125480000231,-8.5852715180741,41.171390651966,-8.6429326111044,0313322333122,0313322333031
"LINESTRING (-8.59130859375 41.12901926009517, -8.63525390625 41.19518774143979)",2020-04-14 1600,728813,Oliveira do Douro,728795,Leça do Balio,8.2260591304822,13,PT,LEVEL5,16,24.2,-8.2,-32.539682539683,0,-0.93630247288476,41.125480000231,-8.5852715180741,41.212669419231,-8.6301942747858,0313322333122,0313322333013
"LINESTRING (-8.59130859375 41.12901926009517, -8.635253906250002 41.029641300763465)",2020-04-14 1600,728813,Oliveira do Douro,728818,São Félix da Marinha,11.648083395826,13,PT,LEVEL5,12,13.8,-1.8,-12.162162162162,0,-0.30556792685927,41.125480000231,-8.5852715180741,41.030053966207,-8.6292025656519,0313322333122,0313322333231
"LINESTRING (-8.59130859375 41.12901926009517, -8.67919921875 41.16211185167059)",2020-04-14 1600,728813,Oliveira do Douro,728716,Nevogilde,8.2281354414085,13,PT,LEVEL5,10,13.6,-3.6,-24.657534246575,0,-0.60591980508835,41.125480000231,-8.5852715180741,41.164478422264,-8.6820936053536,0313322333122,0313322333030
"LINESTRING (-8.59130859375 41.12901926009517, -8.679199218750002 41.19518774143979)",2020-04-14 1600,728813,Oliveira do Douro,728793,Guifões,10.405233006448,13,PT,LEVEL5,18,16.4,1.6,9.1954022988506,0,0.21713011773926,41.125480000231,-8.5852715180741,41.203604575851,-8.6665221915212,0313322333122,0313322333012
"LINESTRING (-8.59130859375 41.16211185167059, -8.50341796875 41.16211185167059)",2020-04-14 1600,728709,Bonfim,731420,São Pedro da Cova,7.357611068363,13,PT,LEVEL5,44,51,-7,-13.461538461538,0,-0.20012256154761,41.151718420514,-8.5961234159603,41.147213497142,-8.5006565985195,0313322333120,0313322333130
"LINESTRING (-8.59130859375 41.16211185167059, -8.50341796875 41.19518774143979)",2020-04-14 1600,728709,Bonfim,731614,Valongo,8.2239827068664,13,PT,LEVEL5,45,52.2,-7.2,-13.533834586466,0,-0.22426750856355,41.151718420514,-8.5961234159603,41.191958012735,-8.4982960874911,0313322333120,0313322333112
"LINESTRING (-8.59130859375 41.16211185167059, -8.503417968750002 41.12901926009517)",2020-04-14 1600,728709,Bonfim,731420,São Pedro da Cova,8.2281354414081,13,PT,LEVEL5,11,20.2,-9.2,-43.396226415094,0,-1.5186398618411,41.151718420514,-8.5961234159603,41.147213497142,-8.5006565985195,0313322333120,0313322333132
"LINESTRING (-8.59130859375 41.16211185167059, -8.54736328125 41.09590996932491)",2020-04-14 1600,728709,Bonfim,728803,Avintes,8.2302115398533,13,PT,LEVEL5,14,16.6,-2.6,-14.772727272727,0,-0.33621939007272,41.151718420514,-8.5961234159603,41.105346071506,-8.5471525927014,0313322333120,0313322333301
"LINESTRING (-8.59130859375 41.16211185167059, -8.54736328125 41.12901926009517)",2020-04-14 1600,728709,Bonfim,731419,São Cosme,5.2039298788103,13,PT,LEVEL5,32,70.2,-38.2,-53.651685393258,0,-1.0055417399031,41.151718420514,-8.5961234159603,41.136972132569,-8.5353721698187,0313322333120,0313322333123
"LINESTRING (-8.59130859375 41.16211185167059, -8.54736328125 41.16211185167059)",2020-04-14 1600,728709,Bonfim,731412,Fânzeres,3.6788056513745,13,PT,LEVEL5,142,184.8,-42.8,-23.035522066738,0,-0.37263629710212,41.151718420514,-8.5961234159603,41.169276181768,-8.5302572246125,0313322333120,0313322333121
"LINESTRING (-8.59130859375 41.16211185167059, -8.54736328125 41.19518774143979)",2020-04-14 1600,728709,Bonfim,731422,Baguim do Monte,5.2013034591092,13,PT,LEVEL5,98,142.6,-44.6,-31.058495821727,0,-0.56198301142751,41.151718420514,-8.5961234159603,41.192198058705,-8.5358890168331,0313322333120,0313322333103
"LINESTRING (-8.59130859375 41.16211185167059, -8.54736328125 41.228246926814975)",2020-04-14 1600,728709,Bonfim,731612,Ermesinde,8.2219060747515,13,PT,LEVEL5,61,80,-19,-23.456790123457,0,-0.3982607177428,41.151718420514,-8.5961234159603,41.216021043588,-8.5493190824051,0313322333120,0313322333101
"LINESTRING (-8.59130859375 41.16211185167059, -8.59130859375 41.0627839819948)",2020-04-14 1600,728709,Bonfim,728815,Perosinho,11.044772518344,13,PT,LEVEL5,15,16.8,-1.8,-10.112359550562,0,-0.24795176123861,41.151718420514,-8.5961234159603,41.05797226748,-8.5879757513097,0313322333120,0313322333302
"LINESTRING (-8.59130859375 41.16211185167059, -8.59130859375 41.09590996932491)",2020-04-14 1600,728709,Bonfim,728824,Vilar de Andorinho,7.3613250055682,13,PT,LEVEL5,39,61.8,-22.8,-36.305732484076,0,-0.580489150728,41.151718420514,-8.5961234159603,41.099937415939,-8.5741603299697,0313322333120,0313322333300
"LINESTRING (-8.59130859375 41.16211185167059, -8.59130859375 41.12901926009517)",2020-04-14 1600,728709,Bonfim,728813,Oliveira do Douro,3.6797340684545,13,PT,LEVEL5,114,166.8,-52.8,-31.466030989273,0,-0.40592932604395,41.151718420514,-8.5961234159603,41.125480000231,-8.5852715180741,0313322333120,0313322333122
"LINESTRING (-8.59130859375 41.16211185167059, -8.59130859375 41.16211185167059)",2020-04-14 1600,728709,Bonfim,728709,Bonfim,0,13,PT,LEVEL5,6462,6511.8,-49.8,-0.76464807763174,0,-0.72408506680283,41.151718420514,-8.5961234159603,41.151718420514,-8.5961234159603,0313322333120,0313322333120
"LINESTRING (-6.70166015625 37.94419545772374, -6.70166015625 37.94419545772374)",2020-04-14 1600,884325,Galaroza,884325,Galaroza,0,13,ES,LEVEL4,28,29.4,-1.4,-4.6052631578947,0,-0.22332212952794,37.926968480168,-6.6921892071626,37.926968480168,-6.6921892071626,0331103122113,0331103122113
"LINESTRING (-8.59130859375 41.16211185167059, -8.59130859375 41.19518774143979)",2020-04-14 1600,728709,Bonfim,731464,Pedrouços,3.6778769094206,13,PT,LEVEL5,103,176.4,-73.4,-41.375422773393,0,-0.57811765891016,41.151718420514,-8.5961234159603,41.189899544658,-8.5888515279529,0313322333120,0313322333102
"LINESTRING (-8.59130859375 41.16211185167059, -8.59130859375 41.228246926814975)",2020-04-14 1600,728709,Bonfim,731457,Nogueira,7.3538963720599,13,PT,LEVEL5,27,39,-12,-30,0,-1.0424933826314,41.151718420514,-8.5961234159603,41.235009661598,-8.5859938225774,0313322333120,0313322333100
"LINESTRING (-8.59130859375 41.16211185167059, -8.63525390625 41.0627839819948)",2020-04-14 1600,728709,Bonfim,728802,Arcozelo,11.642212390682,13,PT,LEVEL5,14,24.2,-10.2,-40.47619047619,0,-1.1216243187693,41.151718420514,-8.5961234159603,41.056353348945,-8.6402325558739,0313322333120,0313322333213
"LINESTRING (-8.59130859375 41.16211185167059, -8.63525390625 41.09590996932491)",2020-04-14 1600,728709,Bonfim,728823,Valadares,8.2302115398533,13,PT,LEVEL5,24,29.6,-5.6,-18.300653594771,0,-0.51927590301937,41.151718420514,-8.5961234159603,41.092493791416,-8.6383034810667,0313322333120,0313322333211
"LINESTRING (-8.59130859375 41.16211185167059, -8.63525390625 41.12901926009517)",2020-04-14 1600,728709,Bonfim,728805,Canidelo,5.2039298788103,13,PT,LEVEL5,67,121,-54,-44.262295081967,0,-0.6418346240886,41.151718420514,-8.5961234159603,41.128124084191,-8.6530780410415,0313322333120,0313322333033
"LINESTRING (-8.59130859375 41.16211185167059, -8.63525390625 41.16211185167059)",2020-04-14 1600,728709,Bonfim,728718,Ramalde,3.6788056513745,13,PT,LEVEL5,162,295.6,-133.6,-45.043830074174,0,-0.49324992621054,41.151718420514,-8.5961234159603,41.171390651966,-8.6429326111044,0313322333120,0313322333031
"LINESTRING (-8.59130859375 41.16211185167059, -8.63525390625 41.19518774143979)",2020-04-14 1600,728709,Bonfim,728795,Leça do Balio,5.2013034591092,13,PT,LEVEL5,75,106,-31,-28.971962616822,0,-0.39254660937977,41.151718420514,-8.5961234159603,41.212669419231,-8.6301942747858,0313322333120,0313322333013
"LINESTRING (-8.59130859375 41.16211185167059, -8.63525390625 41.228246926814975)",2020-04-14 1600,728709,Bonfim,731454,Maia,8.2219060747515,13,PT,LEVEL5,28,37.2,-9.2,-24.083769633508,0,-0.8157259374517,41.151718420514,-8.5961234159603,41.233620236436,-8.6283231930852,0313322333120,0313322333011
"LINESTRING (-8.59130859375 41.16211185167059, -8.635253906250002 41.029641300763465)",2020-04-14 1600,728709,Bonfim,728818,São Félix da Marinha,15.183415002572,13,PT,LEVEL5,15,15,0,0,0,0,41.151718420514,-8.5961234159603,41.030053966207,-8.6292025656519,0313322333120,0313322333231
"LINESTRING (-8.59130859375 41.16211185167059, -8.67919921875 41.16211185167059)",2020-04-14 1600,728709,Bonfim,728716,Nevogilde,7.357611068363,13,PT,LEVEL5,35,60.4,-25.4,-41.368078175896,0,-0.49459981460253,41.151718420514,-8.5961234159603,41.164478422264,-8.6820936053536,0313322333120,0313322333030
"LINESTRING (-8.59130859375 41.16211185167059, -8.67919921875 41.228246926814975)",2020-04-14 1600,728709,Bonfim,728798,Perafita,10.399979759838,13,PT,LEVEL5,14,26.4,-12.4,-45.255474452555,0,-1.3121876794723,41.151718420514,-8.5961234159603,41.225880971794,-8.6972122491942,0313322333120,0313322333010
"LINESTRING (-8.59130859375 41.16211185167059, -8.679199218750002 41.19518774143979)",2020-04-14 1600,728709,Bonfim,728793,Guifões,8.2239827068665,13,PT,LEVEL5,47,72,-25,-34.246575342466,0,-0.37846220778038,41.151718420514,-8.5961234159603,41.203604575851,-8.6665221915212,0313322333120,0313322333012
"LINESTRING (-6.70166015625 38.15183535630748, -6.70166015625 38.15183535630748)",2020-04-14 1600,881778,Higuera la Real,881778,Higuera la Real,0,13,ES,LEVEL4,86,86.6,-0.59999999999999,-0.68493150684931,0,-0.056368476289081,38.140186531507,-6.7281703927855,38.140186531507,-6.7281703927855,0331103120133,0331103120133
"LINESTRING (-8.59130859375 41.19518774143979, -8.50341796875 41.16211185167059)",2020-04-14 1600,731464,Pedrouços,731420,São Pedro da Cova,8.2239827068663,13,PT,LEVEL5,20,20.8,-0.8,-3.6697247706422,0,-0.13116516715679,41.189899544658,-8.5888515279529,41.147213497142,-8.5006565985195,0313322333102,0313322333130
"LINESTRING (-8.59130859375 41.19518774143979, -8.50341796875 41.19518774143979)",2020-04-14 1600,731464,Pedrouços,731614,Valongo,7.3538964609576,13,PT,LEVEL5,24,29,-5,-16.666666666667,0,-0.61780206321522,41.189899544658,-8.5888515279529,41.191958012735,-8.4982960874911,0313322333102,0313322333112
"LINESTRING (-6.70166015625 38.70265725132718, -6.70166015625 38.70265725132718)",2020-04-14 1600,881756,Entrín Bajo,881756,Entrín Bajo,0,13,ES,LEVEL4,32,28,4,13.793103448276,0,0.74278135270821,38.712992723695,-6.7033581662536,38.712992723695,-6.7033581662536,0331103100133,0331103100133
"LINESTRING (-8.59130859375 41.19518774143979, -8.503417968750002 41.12901926009517)",2020-04-14 1600,731464,Pedrouços,731420,São Pedro da Cova,10.405233006448,13,PT,LEVEL5,14,13.2,0.8,5.6338028169014,0,0.19289712886817,41.189899544658,-8.5888515279529,41.147213497142,-8.5006565985195,0313322333102,0313322333132
"LINESTRING (-8.59130859375 41.19518774143979, -8.54736328125 41.12901926009517)",2020-04-14 1600,731464,Pedrouços,731419,São Cosme,8.2260591304821,13,PT,LEVEL5,10,18,-8,-42.105263157895,0,-1.2728916546812,41.189899544658,-8.5888515279529,41.136972132569,-8.5353721698187,0313322333102,0313322333123
"LINESTRING (-8.59130859375 41.19518774143979, -8.54736328125 41.16211185167059)",2020-04-14 1600,731464,Pedrouços,731412,Fânzeres,5.2013034591091,13,PT,LEVEL5,63,68.2,-5.2,-7.514450867052,0,-0.15512369937351,41.189899544658,-8.5888515279529,41.169276181768,-8.5302572246125,0313322333102,0313322333121
