Município;Butano;Propano;Gás Auto;Gasolina IO 95;Gasolina IO 98;Gasóleo Rodoviário;Gasóleo Colorido;Gasóleo Colorido p/ Aquecimento;Lubrificantes;Biodiesel;Grand Total
Estremoz;0;0;48,304;1322,75498;193,677718;7805,85708;0;0;4,289;0;9374,882778
Évora;0;0;141,622;4425,110118;228,553234;19893,83088;0;0;1167,397;0;25856,51323
Fafe;0;0;0,385;3710,180272;706,936828;17582,79432;0;0;6,275;0;22006,57142
Faro;0;0;434,012;10549,87754;396,274502;26272,97568;1146,999;0;201,276;0;39001,41472
Feira;0;0;307,168;10905,41667;1064,193338;36031,92516;0;0;81,831;138,096;48528,63016
Felgueiras;0;0;78,648;2542,773824;632,712314;15364,0956;0;0;10,947;0;18629,17674
Ferreira do Alentejo;0;0;0;475,35493;94,568942;2470,25436;0;0;5,075;0;3045,253232
Ferreira do Zêzere;0;0;14,375;517,724746;52,091598;3311,24724;0;0;239,156;0;4134,594584
Figueira da Foz;0;0;2461,661;5678,38415;475,403786;24657,07104;0;0;69,866;0,322;33342,70798
Figueira de Castelo Rodrigo;0;0;3;161,908856;13,295282;876,06204;0;0;0,159;0;1054,425178
Figueiró dos Vinhos;0;0;0;374,414416;123,288802;2134,965;0;0;1,64;0;2634,308218
Fornos de Algodres;0;0,352;0;207,263418;17,800432;814,8924;0;0;0,069;0;1040,37725
Freixo de Espada à Cinta;0;4,102;0;58,205904;6,786754;677,13156;0;0;4,795;0;751,021218
Fronteira;0;0;0;143,618428;18,37498;604,81176;0;0;0,435;0;767,240168
Funchal;0;3,47;31,632;15019,99832;2798,51247;39002,45664;0;0;194,119;0;57050,18843
Fundão;0;0;44,034;1652,817458;143,27131;7892,577;0;0;199,831;0;9932,530768
Gavião;0;0;0;0;0;0;0;0;2,34;0;2,34
Góis;0;0;0;159,709648;39,44928;787,10184;0;0;0,37;23,76;1010,390768
Golegã;0;0;0;17,078924;0;120,71388;0;0;0,135;0;137,927804
Gondomar;0;0;293,037;15014,81511;407,671212;36463,05768;0;0;332,452;0,072;52511,105
Gouveia;0;0;10,001;764,71714;100,174932;2625,11508;0;0;4,388;0;3504,396152
Grândola;0;0;147,387;2200,869342;243,582716;15027,86628;0;0;11,094;0;17630,79934
Guarda;0;0;91,444;3284,330648;234,393718;19043,29476;0;0;71,765;0;22725,22813
Guimarães;0;0;679,063;11463,24264;965,886064;44321,07792;0;0;217,608;1015,574;58662,45163
Horta;0;0;0;1845,83526;51,126478;2812,44264;0;0;4,265;0;4713,669378
Idanha-a-Nova;0;0;0;130,246378;4,962828;637,41636;0;0;1,61;0;774,235566
