Município;Butano;Propano;Gás Auto;Gasolina IO 95;Gasolina IO 98;Gasóleo Rodoviário;Gasóleo Colorido;Lubrificantes;Grand Total
Lamego;0;0,503;69,583;1320,708702;117,78988;6006,6616;0;11,437;7526,683182
Leiria;0;0,611;723,347;11351,78427;1352,344994;99751,70592;0;1351,003;114530,7962
Lisboa;0;0,011;1349,44;55300,64132;4070,815086;194674,8937;583,67148;1843,649;257823,1216
Loulé;0;0;115,89;10846,63112;1102,390978;32565,82656;0;60,632;44691,37066
Loures;0;0;497,001;19027,91166;1125,222098;82966,29556;0;1723,108;105339,5383
Lourinhã;0;0,949;62,348;1539,772348;259,438582;9057,07264;0;38,757;10958,33757
Lousã;0;0;97,061;842,306362;161,788796;4306,1554;0;192,351;5599,662558
Lousada;0;0;69,246;1945,34793;485,759222;13842,08532;0;8,498;16350,93647
Mação;0;0;0;206,812088;6,781476;827,4126;0;16,883;1057,889164
Macedo de Cavaleiros;0;0;26,97;376,712096;30,004676;3421,17384;0;5,214;3860,074612
Machico;0;0;0;842,477942;188,366542;4329,80772;0;5,371;5366,023204
Madalena;0;0;0;647,31912;0;2236,87212;0;6,139;2890,33024
Mafra;0;0;200,444;4529,189054;407,163016;28603,8;0;394,291;34134,88707
Maia;0;0;627,059;15885,43515;467,176892;61387,41492;0;679,805;79046,89097
Mangualde;0;0;27,438;1839,515148;186,493606;10310,72364;0;4,43;12368,60039
Manteigas;0;0;0;77,813768;0;172,34196;0;0;250,155728
Marco de Canavezes;0;0;30,596;3603,115098;652,283892;15995,49508;0;55,824;20337,31407
Marinha Grande;0;0;397,356;2873,086212;266,273592;14771,86712;0;19,478;18328,06092
Matosinhos;0;1,867;834,992;27306,11924;3628,300026;166574,7009;0;381,362;198727,3411
Mealhada;0;0;81,874;1758,864342;86,372208;22641,4188;0;176,96;24745,48935
Meda;46,41;34,21;0;52,848132;0;339,99336;0;0;473,461492
Melgaço;0;0;0;151,120204;62,557872;1003,49676;0;0;1217,174836
Mértola;0;0;0;349,126508;0;1767,27944;5,04;12,58;2134,025948
Mesão Frio;0;0;0;264,562186;56,491942;1306,37808;0;0;1627,432208
Mira;0;0;0,22;575,90827;22,353084;2983,20972;0;5,691;3587,382074
