DISTRITO;MUNICÍPIO;CODIGO;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018p
BEJA;ODEMIRA;0211;;;;;293;742;805;916;1 055;3 229;3 660;3 517;5 193;3 074;4 565;5 221;5 186;5 538
BEJA;OURIQUE;0212;;;;;;;;;;;;;;;;;;
BEJA;SERPA;0213;;;;;;;;;;;;;;;;;1;4
BEJA;VIDIGUEIRA;0214;;;;;;;;;;;;;;;;;;0
BRAGA;AMARES;0301;;;;;;;;;;;;;;;;;3;2
BRAGA;BARCELOS;0302;21 768;24 706;27 407;28 628;32 730;37 005;40 375;40 424;30 836;35 246;38 884;40 983;44 217;41 707;44 215;44 458;44 374;46 158
BRAGA;BRAGA;0303;4 307;5 836;7 461;9 066;10 344;14 751;18 375;21 066;18 887;25 791;29 727;29 641;31 038;31 551;32 206;31 207;33 705;33 642
BRAGA;CABECEIRAS DE BASTO;0304;;;;;;;;;;;;;;;;;;0
BRAGA;CELORICO DE BASTO;0305;;;;;;;;;;;;;197;115;51;198;227;250
BRAGA;ESPOSENDE;0306;359;3 790;4 899;4 975;5 238;5 816;6 036;6 023;2 660;3 368;3 239;3 560;3 937;4 577;4 050;3 959;4 095;3 866
BRAGA;FAFE;0307;;;;;;2;2 598;5 968;5 044;8 425;8 320;9 102;12 875;10 398;12 806;12 945;13 139;13 020
BRAGA;GUIMARÃES;0308;52 534;59 091;58 765;65 265;63 998;69 150;77 139;80 590;76 733;91 923;75 939;106 901;112 682;113 053;116 225;113 296;115 227;114 580
BRAGA;PÓVOA DE LANHOSO;0309;;;;;;;64;408;526;793;791;983;1 008;914;1 006;1 014;1 052;1 122
BRAGA;TERRAS DO BOURO;0310;;;;;;;;;;;;;;;;;;
BRAGA;VIEIRA DO MINHO;0311;;;;;;;;;;;;;;;;;;0
BRAGA;VILA NOVA DE FAMALICÃO;0312;42 567;51 451;54 046;57 363;56 970;58 720;58 401;68 480;63 930;73 517;81 524;81 748;67 217;74 624;65 394;67 583;67 592;68 676
BRAGA;VILA VERDE;0313;;;;;;;;;;15;163;310;552;915;596;555;734;743
BRAGA;VIZELA;0314;8 654;14 368;15 117;15 492;13 894;13 486;14 135;14 493;10 813;12 179;9 040;16 432;17 738;20 207;22 077;17 834;19 724;19 760
BRAGANÇA;ALFÂNDEGA DA FÉ;0401;;;;;;;;;;;;;;;;;6;67
BRAGANÇA;BRAGANÇA;0402;532;899;1 667;2 552;3 761;3 892;4 479;4 603;4 855;5 612;4 900;4 340;5 694;4 823;5 278;5 725;5 198;5 611
BRAGANÇA;CARRAZEDA DE ANSIÃES;0403;;;;;;;;;;;;;;;;;;2
BRAGANÇA;FREIXO DE ESPADA À CINTA;0404;;;;;;;;;;;;;;;;;;0
BRAGANÇA;MACEDO DE CAVALEIROS;0405;;;;;80;467;612;679;693;972;1 013;1 122;1 198;1 237;1 103;1 205;1 054;1 236
BRAGANÇA;MIRANDA DO DOURO;0406;;;;;;;;;;;;;;;;;;0
BRAGANÇA;MIRANDELA;0407;;;;;44;506;797;1 231;1 264;1 575;1 561;1 760;2 214;2 117;2 353;2 226;2 166;2 411
BRAGANÇA;MOGADOURO;0408;;;;;;;;;;;;;1;;3;1;29;26
BRAGANÇA;TORRE DE MONCORVO;0409;;;;;;;;;;;;;;;;;;0
BRAGANÇA;VILA FLOR;0410;;;;;;;;;;;;;100;;9;100;62;64
BRAGANÇA;VIMIOSO;0411;;;;;;;;;;;;;;;;;;
BRAGANÇA;VINHAIS;0412;;;;;;;;;;;;;39;34;26;39;29;25
CASTELO BRANCO;BELMONTE;0501;;;;;;;;;;;;;;;;;;0
CASTELO BRANCO;CASTELO BRANCO;0502;;52;1 662;2 521;2 760;3 408;3 354;3 581;4 083;3 435;3 714;3 703;4 124;3 412;4 198;4 146;4 201;4 543
CASTELO BRANCO;COVILHÃ;0503;;1 435;3 152;4 690;6 269;7 924;9 293;8 970;8 508;7 504;8 698;9 553;9 930;9 731;10 964;9 984;9 078;9 530
CASTELO BRANCO;FUNDÃO;0504;;;;;84;290;579;785;922;1 147;1 157;1 037;1 112;1 061;1 077;1 118;1 021;1 700
CASTELO BRANCO;IDANHA-A-NOVA;0505;;;;;;;;;;;;;;;;;;0
CASTELO BRANCO;OLEIROS;0506;;;;;;;;;;;;;;;;;;0
CASTELO BRANCO;PENAMACOR;0507;;;;;;;;;;;;;;;;;1;0
CASTELO BRANCO;PROENÇA-A-NOVA;0508;;;;;;;;;;;;;;;;;;0
CASTELO BRANCO;SERTÃ;0509;;;;;;;;;;;;;;;;;1;
CASTELO BRANCO;VILA DE REI;0510;;;;;;;;;;;;;;;;;;0
CASTELO BRANCO;VILA VELHA DE RODÃO;0511;;;;;;;;;1 700;9 313;14 287;15 125;18 336;23 290;21 942;18 436;20 019;29 498
COIMBRA;ARGANIL;0601;;;;;;;;2 579;1 828;1 655;553;1 379;;1 351;;;;0
COIMBRA;CANTANHEDE;0602;;;;1 270;2 040;2 558;6 178;2 566;2 235;2 237;2 139;2 255;6 135;6 126;5 905;6 169;5 961;4 412
COIMBRA;COIMBRA;0603;36 924;38 068;38 640;28 282;28 625;27 098;21 761;23 161;18 760;19 266;18 515;21 377;19 486;21 114;22 918;19 592;18 038;19 291
