DISTRITO;MUNICÍPIO;CODIGO;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018p
SETÚBAL;SEIXAL;1510;22 981;30 282;33 515;33 003;39 747;41 159;49 491;42 505;37 752;40 108;42 302;42 469;34 293;42 991;28 746;34 479;33 756;37 506
SETÚBAL;SESIMBRA;1511;;;40;197;387;456;706;988;923;1 048;862;1 091;1 005;1 114;1 227;1 011;1 331;1 416
SETÚBAL;SETÚBAL;1512;4 461;6 778;9 809;11 545;10 895;10 507;11 078;10 405;55 299;139 418;168 824;158 339;175 715;172 245;153 935;176 672;193 919;184 139
SETÚBAL;SINES;1513;;;;17 980;86 368;96 457;100 122;130 434;210 104;407 900;390 125;432 231;590 525;635 303;604 418;593 743;669 343;632 134
VIANA DO CASTELO;ARCOS DE VALDEVEZ;1601;;;;;;146;718;1 431;1 833;2 244;2 329;2 558;3 363;2 532;3 280;3 381;3 566;3 698
VIANA DO CASTELO;CAMINHA;1602;;;;;;;;;;;;;3;1;1;3;132;257
VIANA DO CASTELO;MELGAÇO;1603;;;;;;;;;;;;;;;;;;0
VIANA DO CASTELO;MONÇÃO;1604;;;;;;;;;;;;;;;1;;;
VIANA DO CASTELO;PAREDES DE COURA;1605;;;;;;;;;;;;;;;;;;
VIANA DO CASTELO;PONTE DA BARCA;1606;;;;;;54;269;395;584;546;471;530;558;537;551;561;553;587
VIANA DO CASTELO;PONTE DE LIMA;1607;;;;;;;59;249;304;380;420;462;2 654;606;4 048;2 669;3 251;675
VIANA DO CASTELO;VALENÇA;1608;;;;;;;;;;;18;94;308;366;337;310;462;827
VIANA DO CASTELO;VIANA DO CASTELO;1609;;;;;41 297;62 500;62 794;64 526;66 398;106 387;132 040;130 730;145 510;136 560;142 067;146 303;145 142;141 567
VIANA DO CASTELO;VILA NOVA DE CERVEIRA;1610;;;;;;;;;;455;1 082;1 138;1 805;1 117;1 550;1 815;1 864;1 770
VILA REAL;ALIJÓ;1701;;;;;;;;;;;;;;;;;;2
VILA REAL;BOTICAS;1702;;;;;;;;;;;;;;;;;;0
VILA REAL;CHAVES;1703;2 554;2 822;2 643;3 099;3 504;3 128;3 591;3 922;3 567;4 385;4 335;3 701;3 976;5 266;4 011;3 998;3 628;3 800
VILA REAL;MESÃO FRIO;1704;;;;;;;;;;;;;;;;;;
VILA REAL;MONDIM DE BASTO;1705;;;;;;;;;;;;;;;;;;
VILA REAL;MONTALEGRE;1706;;;;;;;;;;;;;;;1;;;12
VILA REAL;MURÇA;1707;;;;;;;;;;;;;;;;;;
VILA REAL;PESO DA RÉGUA;1708;;;;;;;68;449;620;788;733;967;1 138;1 022;1 162;1 144;1 109;1 074
VILA REAL;RIBEIRA DE PENA;1709;;;;;;;;;;;;;;;;;;
VILA REAL;SABROSA;1710;;;;;;;;;;;;;;;;;;
VILA REAL;SANTA MARTA DE PENAGUIÃO;1711;;;;;;;;;;54;343;305;246;215;244;247;312;316
VILA REAL;VALPAÇOS;1712;;;;;;;;;;;;;12;279;10;12;16;23
VILA REAL;VILA POUCA DE AGUIAR;1713;;;;;;;;;;;;;295;278;184;297;291;504
VILA REAL;VILA REAL;1714;;;75;497;2 382;3 192;4 172;5 105;4 982;6 000;5 527;3 624;37 504;5 136;5 876;37 708;5 917;6 619
VISEU;ARMAMAR;1801;;;;;;;;;;;;;;;;;1;0
VISEU;CARREGAL DO SAL;1802;;;;;;;;;;;;;;;;;;
VISEU;CASTRO D’AIRE;1803;;;;;;;;;;;;;;;;;;1
VISEU;CINFÃES;1804;;;;;;;;;;;;;;;;;1;0
VISEU;LAMEGO;1805;;;;;;;;;55;301;657;1 172;1 697;1 663;1 594;1 707;1 788;1 841
VISEU;MANGUALDE;1806;;2 238;3 800;4 027;4 237;5 293;5 508;5 772;3 810;5 526;6 081;4 913;3 365;5 525;3 788;3 384;3 323;4 020
VISEU;MOIMENTA DA BEIRA;1807;;;;;;;;;;;;;;;;;;0
VISEU;MORTÁGUA;1808;4 133;4 195;4 017;4 270;4 303;4 189;4 505;3 974;3 133;2 431;2 599;1 882;1 885;1 603;1 431;1 895;1 876;2 360
VISEU;NELAS;1809;;;;;;102;479;721;598;979;1 547;1 574;5 131;1 773;3 305;5 159;8 364;10 604
VISEU;OLIVEIRA DE FRADES;1810;;;;;;;;;;;;;195;25;182;196;192;207
VISEU;PENALVA DO CASTELO;1811;;;;;;;;;;;;;;;;;;0
VISEU;PENEDONO;1812;;;;;;;;;;;;;;;;;;
VISEU;RESENDE;1813;;;;;;;;;;;;;;;;;;
VISEU;SANTA COMBA DÃO;1814;2 098;2 042;1 990;2 662;2 643;2 795;2 924;2 827;3 348;3 346;2 888;3 023;3 796;2 529;3 304;3 816;3 517;3 845
VISEU;SÃO JOÃO DA PESQUEIRA;1815;;;;;;;;;;;;;;;;;;
VISEU;SÃO PEDRO DO SUL;1816;;;;;;;;;;;;;;;1;;;0
VISEU;SÁTÃO;1817;;;;1 193;1 082;1 228;1 383;1 338;1 391;1 271;1 142;1 191;1 107;1 207;1 021;1 113;1 267;1 541
VISEU;SERNANCELHE;1818;;;;;;;;;;;;;;;;;;
VISEU;TABUAÇO;1819;;;;;;;;;;;;;;;;;;
VISEU;TAROUCA;1820;;;;;;;;;;;;;;;;;;0
VISEU;TONDELA;1821;;;136;1 156;1 851;2 535;2 923;2 861;2 940;1 876;3 323;3 462;2 165;3 323;2 216;2 177;2 225;2 646
VISEU;VILA NOVA DE PAIVA;1822;;;;;;;;;;;;;;;;;;
VISEU;VISEU;1823;;951;1 996;3 411;4 230;5 031;5 590;8 524;10 896;11 258;11 912;12 590;12 227;13 017;13 475;12 294;12 162;12 360
VISEU;VOUZELA;1824;;;;;;;;;;;;;;;;;;0
ILHA DA MADEIRA;FUNCHAL;3103;;;;;;;;;;;;;;18 692;33 607;27 623;27 559;30 684
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
