Município;Butano;Propano;Gás Auto;Gasolina IO 95;Gasolina IO 98;Gasóleo Rodoviário;Gasóleo Colorido;Gasóleo Colorido p/ Aquecimento;Lubrificantes;Biodiesel;Grand Total
Vila Pouca de Aguiar;0;0;0,814;589,248242;84,824246;3606,56268;0;0;7,614;0;4289,063168
Vila Praia da Vitória;0;0;0;1616,57827;82,087226;3818,8878;0;0;14,466;0;5532,019296
Vila Real;0;0;157,046;5331,657524;643,705634;26636,81832;0;0;38,195;0;32807,42248
Vila Real de Santo António;0;0;51,869;1041,53163;49,129132;4814,775;0;0;18,84;0;5976,144762
Vila Velha de Rodão;0;0;34,312;400,596032;24,820172;3038,03848;0;0;3,801;0;3501,567684
Vila Verde;0;0;65,806;4624,892648;737,185046;16535,57136;0;0;0;0,02;21963,47505
Vila Viçosa;0;0;0;235,436854;22,534044;1315,00068;0;0;1,476;0;1574,447578
Vimioso;0;0;0;170,597518;43,854148;591,8472;0;0;0;0;806,298866
Vinhais;0;0;0;258,453938;50,69142;1032,7128;0;0;0,326;0;1342,184158
Viseu;0;0;421,604;9870,022378;578,669614;43837,81408;0;0;765,348;0;55473,45807
Vizela;0;0;40,682;1279,126662;155,917398;5275,02612;0;0;2,863;1,784;6755,39918
Vouzela;0;0;75,789;556,36307;87,586148;2050,61944;0;0;2,692;0;2773,049658
Grand Total;1948,262;1357,261;30115,501;1013873,235;78027,8533;3857111,124;9989,69664;307,229325;32589,987;4557,912;5029878,061
