Município;Butano;Propano;Gás Auto;Gasolina IO 95;Gasolina IO 98;Gasóleo Rodoviário;Gasóleo Colorido;Lubrificantes;Biodiesel;Grand Total
Felgueiras;0;0;78,964;2622,922572;436,22293;17537,433;0;7,364;0;20682,9065
Ferreira do Alentejo;0;0;0,99;465,86581;157,653106;2596,77432;0;6,048;0;3227,331236
Ferreira do Zêzere;0;0;12,774;540,239772;12,994436;3199,90776;0;156,939;0;3922,854968
Figueira da Foz;0;0;3506,02;4856,093714;448,758934;23719,58576;0;28,1;0;32558,55841
Figueira de Castelo Rodrigo;0;0;0;114,97352;6,789016;733,53084;0;0,08;0;855,373376
Figueiró dos Vinhos;0;0;0;372,142846;185,422926;2346,00912;0;1,882;0;2905,456892
Fornos de Algodres;0;0;0;250,986478;6,790524;1359,92556;0;0,174;0;1617,876562
Freixo de Espada à Cinta;0;0;0;68,620064;0;727,71552;0;1,099;0;797,434584
Fronteira;0;0;0;147,836312;0;522,56232;0;0;0;670,398632
Funchal;0;4,828;92,141;12834,13924;2958,553494;42137,12412;0;145,935;0;58172,72085
Fundão;0;0;54,75;1646,827078;164,430058;8685,47484;0;164,791;0;10716,27298
Gavião;0;0;0;0;0;0;0;3,583;0;3,583
Góis;0;0;0;178,854246;28,09781;777,95676;0;0,601;0;985,509816
Golegã;0;0;0;0;0;77,322;0;1,241;0;78,563
Gondomar;0;0;251,702;8535,900596;386,463454;26752,77012;0;256,904;0;36183,74017
Gouveia;0;0;0;710,987982;70,308992;2372,01636;0;0,206;0;3153,519334
Grândola;0;0;130,34;2375,355012;261,68324;17417,06484;0;15,115;0;20199,55809
Guarda;0;0;79,534;3044,48195;276,214328;17878,17368;0;61,292;0;21339,69596
Guimarães;0;0;773,349;10626,49249;902,467878;50897,43648;0;226,654;410,982;63837,38185
Horta;0;0;0;2013,515172;0;3712,72776;0;20,196;0;5746,438932
Idanha-a-Nova;0;0;0;172,677366;0,767572;735,96432;0;0,45;0;909,859258
Ílhavo;0;0;108,171;2464,774302;60,60275;9654,86088;0;200,588;0;12488,99693
Lagoa (Açores);0;0;0;1441,845674;22,444318;1714,4232;0;12,035;0;3190,748192
Lagoa (Algarve);0;0,626;171,842;4791,676614;239,037604;12869,25276;0;54,174;0;18126,60898
Lagos;0;0;109,756;4423,22796;273,432822;12649,31088;0;4,148;0;17459,87566
Lajes das Flores;0;0;0;467,136248;0;1108,54548;0;2,142;0;1577,823728
Lajes do Pico;0;0;0;1234,583002;0;2228,51328;0;3,564;0;3466,660282
Lamego;0;0,501;62,178;1265,76058;95,330482;5488,62468;0;8,423;0;6920,817742
Leiria;0;0;619,73;10663,5008;1137,291376;91158,72012;0;1112,509;11,633;104703,3843
Lisboa;0;0;1036,7;53996,22898;3110,606642;184829,6406;568,82616;2395,227;951,266;246888,4954
Loulé;0;0;177,629;10342,0121;957,28594;35829,08264;0;69,736;0;47375,74568
Loures;0;0;726,75;19377,70137;887,402958;88070,1856;0;1443,202;0;110505,2419
Lourinhã;0;0,71;97,573;1464,450966;237,681912;8012,73224;0;35,146;0;9848,294118
Lousã;0;0;85,797;716,277122;104,155298;3257,05464;0;204,255;0;4367,53906
Lousada;0;0;92,432;2124,02612;520,917488;14859,5328;0;10,666;0;17607,57441
Mação;0;0;0;242,301546;19,59646;1351,959;0;31,491;0;1645,348006
Macedo de Cavaleiros;0;0;0;193,57208;9,650446;1806,17052;0;1,751;0;2011,144046
Machico;0;0;0;881,666068;153,994698;3406,5948;0;1,225;0;4443,480566
Madalena;0;0;0;566,369168;0;1975,54392;0;7,277;0;2549,190088
Mafra;0;0;248,452;4741,28133;375,056942;28181,37936;0;87,171;0;33633,34063
Maia;0;0;460,685;16442,57779;762,055736;66602,6372;0;536,556;0;84804,51173
Mangualde;0;0;26,86;1807,01342;164,591414;10570,72548;0;26,124;0;12595,31431
Manteigas;0;0;0;44,693606;0;93,04428;0;0,265;0;138,002886
Marco de Canavezes;0;0;20,325;3699,187216;668,879432;15780,14696;0;70,63;0;20239,16861
Marinha Grande;0;0;236,49;3845,179416;246,140284;11884,96008;0;1354,231;0;17567,00078
Matosinhos;0;4,612;465,114;30812,6721;3520,891218;177995,461;0;1429,333;76,821;214304,9043
Mealhada;0;0;55,56;1893,668034;178,217702;29201,84652;0;109,572;0;31438,86426
Meda;42,614;27,72;0;120,423796;0;788,53488;0;0;0;979,292676
Melgaço;0;0;0;77,261728;42,028714;521,68284;0;0;0;640,973282
Mértola;0;0;0;370,70605;0;1754,30504;0;8,112;0;2133,12309
Mesão Frio;0;0;0;274,125906;53,158508;1407,89124;0;0;0;1735,175654
Mira;0;0;0,874;577,138424;33,109648;2966,75652;0;4,015;0;3581,893592
Miranda do Corvo;0;0;0;380,492824;73,892754;2662,94028;0;1,66;0;3118,985858
Miranda do Douro;0;0;0;569,785102;32,265922;2474,60976;0;6,134;0;3082,794784
Mirandela;0;0;0;1195,982724;483,473094;9949,62696;0;9,72;0;11638,80278
Mogadouro;0;0;0;263,884072;87,019894;2432,26788;0;12,515;0;2795,686846
Moimenta da Beira;0;0;0;691,309994;99,6411;3515,54364;0;13,327;0;4319,821734
Moita;0;0;200,529;3776,846562;104,993746;10613,81076;0;8,011;0;14704,19107
Monção;0;0;3,713;702,778252;24,91216;4221,31416;0;1,299;0;4954,016572
Monchique;0;0;0;323,799808;65,060398;1120,6356;0;1,783;0;1511,278806
Mondim de Basto;0;0;0;227,942538;25,969268;1894,53432;0;3,906;0;2152,352126
Monforte;0;0;0;149,889304;0;520,46568;0;0,014;0;670,368984
Montalegre;0;0;0,739;386,557058;44,461118;2231,3282;0;0,499;0;2663,584376
Montemor-o-Novo;0;0;36,741;1608,162644;101,253152;12948,40328;0;16,939;0;14711,49908
Montemor-o-Velho;0;0;85,089;811,84942;141,963874;5119,09188;0;10,56;0;6168,554174
Montijo;0;0;296,657;5772,295852;264,418752;29249,4724;0;28,388;0;35611,232
Mora;0;0;27,018;575,318184;25,28916;1916,54316;0;0,832;0;2545,000504
Mortágua;0;0;5,576;456,475908;34,34847;3118,31856;0;0,333;0;3615,051938
Moura;0;0;0;615,657388;23,64921;2670,31044;0;1,154;0;3310,771038
Mourão;0;0;0;288,563244;0;1486,32288;0;0,168;0;1775,054124
Murça;0;0;0;411,794238;92,22551;2346,90624;0;1,41;0;2852,335988
Murtosa;0;0;0;1002,587446;135,603884;4847,40984;0;6,766;0;5992,36717
Nazaré;0;0;0;1261,235344;98,790588;4117,87404;0;3,94;0;5481,839972
Nelas;0;0;0;1057,312514;81,36037;4776,31728;0;0,214;0;5915,204164
Nisa;0;0;0;271,045672;7,536984;1162,61124;0;0;0;1441,193896
Nordeste;0;0;0;395,308384;0;878,37288;0;0,247;0;1273,928264
Óbidos;0;0;64,166;759,080364;63,752962;3984,97008;0;4,181;0;4876,150406
Odemira;0;0;0;2469,37936;243,624186;9913,35324;0;6,64;0;12632,99679
Odivelas;0;0;190,647;7104,528762;325,775502;26915,8924;0;41,534;0;34578,37766
Oeiras;0;0;406,864;20415,63056;1118,17823;61667,41404;0;376,3;0;83984,38683
Oleiros;0;0;0;266,697238;9,052524;2865,24168;0;756,977;0;3897,968442
Olhão;0;0,256;99,229;4073,28682;324,583428;10973,53324;0;21,172;0;15492,06049
Oliveira de Azeméis;0;0;52,18;3226,259024;408,5172;13024,89888;0;26,354;0;16738,2091
Oliveira de Frades;0;0;35,828;336,969692;58,392776;2843,48988;0;13,601;0;3288,281348
Oliveira do Bairro;0;0;59,47;2495,86982;302,920254;9525,37572;0;119,722;0;12503,35779
Oliveira do Hospital;0;0;39,534;1685,544478;361,892102;8056,17792;0;7,929;0;10151,0775
Ourique;0;0;0;463,78447;0;2520,71736;0;0,481;0;2984,98283
Ovar;0;0;450,133;3645,064916;342,224012;16071,65784;0;62,301;0,035;20571,41577
Paços de Ferreira;0;15,826;553,067;4772,495462;591,997068;24138,60708;0;893,416;0;30965,40861
Palmela;0;0;324,731;7248,968536;440,608194;34992,29136;0;135,409;241,54;43383,54809
Pampilhosa da Serra;0;0;0;155,47759;38,073984;914,64828;0;0;0;1108,199854
Paredes;0;1,118;73,387;3754,11818;399,310106;17539,02864;0;127,935;0;21894,89693
Paredes de Coura;0;0;0,22;370,579976;55,48686;1203,63684;0;3,482;0;1633,405676
Pedrogão Grande;0;0;0;126,992326;49,837138;844,05636;0;1,523;0;1022,408824
Penacova;0;6,84;24,864;555,16201;53,29649;2800,05768;0;2,657;0;3442,87718
Penafiel;0;11,108;130,061;4101,006688;627,784924;24541,75448;0;42,314;63,416;29517,44509
Penalva do Castelo;0;0;0;400,268538;55,63766;1438,1724;0;0;0;1894,078598
Penamacor;0;0;0;88,696416;12,827802;506,69136;0;1,453;0;609,668578
Penedono;0;0;0;144,762792;0;716,91144;0;0;0;861,674232
Penela;0;0;21,63;269,6417;30,339452;2431,48752;0;1,054;0;2754,152672
Peniche;0;0;1,276;1973,585522;145,274688;6711,90744;0;19,998;0;8852,04165
Peso da Régua;0;0;0;1500,056054;141,537864;7413,31876;1660,8522;2,302;0;10718,06688
Pinhel;0;0;0;136,076368;19,081478;2130,3534;0;15,622;0;2301,133246
Pombal;0;2,281;399,152;3696,047302;609,067628;41066,56708;0;824,359;113,024;46710,49801
Ponta Delgada;0,022;0;0;11219,16562;470,576678;25150,4526;0;391,472;0;37231,68889
Ponta do Sol;0;0;0;965,643288;293,904676;2528,86452;0;0;0;3788,412484
Ponte da Barca;0;0;0;615,344814;78,927966;2201,04948;0;0,103;0;2895,42526
Ponte de Lima;0;0;136,264;2568,319848;225,06146;13260,37608;0;341,017;1,245;16532,28339
Ponte de Sôr;0;0;1,738;800,48038;156,743782;4048,65468;0;4,687;0;5012,303842
Portalegre;0;0;59,568;1998,657836;52,85163;9617,98368;0;28,493;0;11757,55415
Portel;0;0;0;205,149254;40,555398;1430,90724;0;0;0;1676,611892
Portimão;0;0;225,668;9057,870828;845,390078;26306,89272;0;64,018;0;36499,83963
Porto;0;6,319;816,696;27243,90508;1286,445394;80146,53332;2206,50192;647,27;0;112353,6707
Porto de Mós;0;0;102,181;1233,16038;224,215472;15682,20192;0;137,594;0;17379,35277
Porto Moniz;0;0;0;146,800864;41,479802;367,91328;0;0;0;556,193946
Porto Santo;0;0;0;664,02579;0;1007,5716;0;0,546;0;1672,14339
Póvoa de Lanhoso;0;0;0,363;782,805402;136,883422;3470,26848;0;1,952;0,564;4392,836304
Póvoa de Varzim;0;0;390,856;5132,641882;365,247402;22328,5852;0;34,086;1,8;28253,21648
Povoação;0;0;0;993,085644;0;2017,88496;0;0;0;3010,970604
Proença-a-Nova;0;0;0;424,998438;48,81773;2065,13916;0;0,162;0;2539,117328
Redondo;0;0;0;383,874442;0;1670,2392;0;9,487;0;2063,600642
Reguengos de Monsaraz;0;0;0;549,91763;0;2162,32272;0;6,519;0;2718,75935
Resende;0;0;1,529;600,631456;115,84079;2509,017;0;3,309;0;3230,327246
Ribeira Brava;0;0;0;1335,009522;566,792356;6375,05484;0;70,202;0;8347,058718
Ribeira de Pena;0;0;0;160,45714;83,047068;3423,73556;0;9,882;0;3677,121768
Ribeira Grande;0;0;0;2185,213786;74,924226;3700,75524;0;17,912;0;5978,805252
